country,name,full_name,symbol,ticker_br,snome,sector,industry,class_exchange,research_cnpj
Brazil,ABC BRASIL PN,Banco ABC Brasil SA,ABCB4,ABCB4.SA,ABCB4-ABC BRASIL PN,Financial Services,Banks—Regional,Ações Preferenciais,Banco ABC Brasil SA - CNPJ
Brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,AGRO3,AGRO3.SA,AGRO3-BRASILAGRO ON,Consumer Defensive,Farm Products,Ações Ordinárias,BrasilAgro - Co ON NM - CNPJ
Brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,RAIL3,RAIL3.SA,RAIL3-RUMO ON NM,Industrials,Railroads,Ações Ordinárias,RUMO Logistica Operadora Multimodal SA - CNPJ
Brazil,ALPARGATAS ON,Alpargatas SA,ALPA3,ALPA3.SA,ALPA3-ALPARGATAS ON,Consumer Cyclical,Footwear & Accessories,Ações Ordinárias,Alpargatas SA - CNPJ
Brazil,ALPARGATAS PN,Alpargatas SA,ALPA4,ALPA4.SA,ALPA4-ALPARGATAS PN,Consumer Cyclical,Footwear & Accessories,Ações Preferenciais,Alpargatas SA - CNPJ
Brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,ALSO3,ALSO3.SA,ALSO3-Aliansce Sonae,N/A,N/A,Ações Ordinárias,Aliansce Sonae Shopping Centers SA - CNPJ
Brazil,LOJAS MARISA ON,Marisa Lojas SA,AMAR3,AMAR3.SA,AMAR3-LOJAS MARISA ON,Consumer Cyclical,Apparel Retail,Ações Ordinárias,Marisa Lojas SA - CNPJ
Brazil,AMBEV S/A ON,Ambev SA,ABEV3,ABEV3.SA,ABEV3-AMBEV S/A ON,Consumer Defensive,Beverages—Brewers,Ações Ordinárias,Ambev SA - CNPJ
Brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,ADHM3,ADHM3.SA,ADHM3-Advanced Digital Health,N/A,N/A,Ações Ordinárias,Advanced Digital Health Medicina Preventiva SA - CNPJ
Brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,ARZZ3,ARZZ3.SA,ARZZ3-AREZZO CO ON,Consumer Cyclical,Footwear & Accessories,Ações Ordinárias,Arezzo Industria e Comercio SA - CNPJ
Brazil,BRASIL ON,Banco do Brasil SA,BBAS3,BBAS3.SA,BBAS3-BRASIL ON,Financial Services,Banks—Regional,Ações Ordinárias,Banco do Brasil SA - CNPJ
Brazil,BRADESCO ON,Banco Bradesco SA,BBDC3,BBDC3.SA,BBDC3-BRADESCO ON,Financial Services,Banks—Regional,Ações Ordinárias,Banco Bradesco SA - CNPJ
Brazil,BRADESCO ON,Banco Bradesco SA,BBDC3,BBDC3.SA,BBDC3-BRADESCO ON,Financial Services,Banks—Regional,Ações Ordinárias,Banco Bradesco SA - CNPJ
Brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BBDC4,BBDC4.SA,BBDC4-BRADESCO PN EJ N1,Financial Services,Banks—Regional,Ações Preferenciais,Banco Bradesco SA Pref - CNPJ
Brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,BBRK3,BBRK3.SA,BBRK3-BR BROKERS ON,N/A,N/A,Ações Ordinárias,Brasil Brokers Participacoes SA - CNPJ
Brazil,MINERVA ON,Minerva SA/Brazil,BEEF3,BEEF3.SA,BEEF3-MINERVA ON,Consumer Defensive,Farm Products,Ações Ordinárias,Minerva SA/Brazil - CNPJ
Brazil,BR PHARMA ON,Brasil Pharma SA,BPHA3,BPHA3.SA,BPHA3-BR PHARMA ON,N/A,N/A,Ações Ordinárias,Brasil Pharma SA - CNPJ
Brazil,BANCO PAN SA PN,Banco Pan SA,BPAN4,BPAN4.SA,BPAN4-BANCO PAN SA PN,Financial Services,Banks—Regional,Ações Preferenciais,Banco Pan SA - CNPJ
Brazil,BRADESPAR ON,Bradespar SA,BRAP3,BRAP3.SA,BRAP3-BRADESPAR ON,Financial Services,Asset Management,Ações Ordinárias,Bradespar SA - CNPJ
Brazil,BRADESPAR PN,Bradespar SA,BRAP4,BRAP4.SA,BRAP4-BRADESPAR PN,Financial Services,Asset Management,Ações Preferenciais,Bradespar SA - CNPJ
Brazil,BRF SA ON,BRF SA,BRFS3,BRFS3.SA,BRFS3-BRF SA ON,Consumer Defensive,Packaged Foods,Ações Ordinárias,BRF SA - CNPJ
Brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,APER3,APER3.SA,APER3-BR Insurance Corretora,Financial Services,Insurance Brokers,Ações Ordinárias,BR Insurance Corretora de Seguros SA - CNPJ
Brazil,BRASKEM ON,Braskem SA,BRKM3,BRKM3.SA,BRKM3-BRASKEM ON,Basic Materials,Chemicals,Ações Ordinárias,Braskem SA - CNPJ
Brazil,BRASKEM PNA,Braskem SA,BRKM5,BRKM5.SA,BRKM5-BRASKEM PNA,Basic Materials,Chemicals,Ações Preferenciais Classe A,Braskem SA - CNPJ
Brazil,BR MALLS PAR ON,BR Malls Participacoes SA,BRML3,BRML3.SA,BRML3-BR MALLS PAR ON,N/A,N/A,Ações Ordinárias,BR Malls Participacoes SA - CNPJ
