ticker,endereco,cidade,estado,cep,pais,site
CRIV3.SA,"Rua Mermoz, 150 Cidade Alta",Natal,RN,N/A,BRAZIL,https://www.cosern.com.br
BDLL4.SA,"Av. Princesa Isabel 574 - Ed. Palas Ctr Block B, 9th floor Center",Vitória,ES,29010-930,BRAZIL,https://www.ri.banestes.com.br
BGIP4.SA,"Av. Princesa Isabel 574 - Ed. Palas Ctr Block B, 9th floor Center",Vitória,ES,29010-930,BRAZIL,https://www.ri.banestes.com.br
ALUP3.SA,"Rua 72, 325 Ed. Trend Office Home 12th Floor Jd. Goiás",Goiânia,GO,4.805-480,BRAZIL,N/A
BEES4.SA,"Rua OlImpio de Sousa Campos Junior, 31 InAcio Barbosa",Aracaju,SE,49040-840,BRAZIL,https://www.banese.com.br
AALR3.SA,"Rua OlImpio de Sousa Campos Junior, 31 InAcio Barbosa",Aracaju,SE,49040-840,BRAZIL,https://www.banese.com.br
LINX3.SA,Rua Treze de Maio nº 254 Santo Amaro,Recife,PE,50100-160,BRAZIL,https://www.sereducacional.com
IGBR3.SA,"Avenida ACaI, 875 Bloco C Industrial District",Manaus,AM,69075-020,BRAZIL,https://grupogradiente.com.br
GRLV11.SA,"Andrade Office Building - 1st Floor Lote 6, no 450, Rooms 21 and 22 Avenida C, Quadra A-48 Jardim GoiAs",Goiânia,GO,74805-070,BRAZIL,https://www.celgpar.com
ENGI3.SA,"Rua Manoel dos Santos Coimbra, nº 184 ",Cuiabá,MT,78010-150,BRAZIL,https://www.energisa.com.br
EEEL4.SA,"Rua Manoel dos Santos Coimbra, nº 184 ",Cuiabá,MT,78010-150,BRAZIL,https://www.energisa.com.br
BRDT3.SA,General Anaya Nº 601 Pte. Col. Bella Vista,Monterrey,NL,64410,MEXICO,https://www.femsa.com
CTSH34.SA,One CVS Drive ,Woonsocket,RI,02895,UNITED STATES,https://www.cvshealth.com
BCIA11.SA,Building 730 974 Centre Road,Wilmington,DE,19805,UNITED STATES,https://www.dupont.com
GDBR34.SA,11011 Sunset Hills Road ,Reston,VA,20190,UNITED STATES,https://www.gd.com
LMTB34.SA,6801 Rockledge Drive ,Bethesda,MD,20817,UNITED STATES,https://www.lockheedmartin.com
WIZS3.SA,929 Long Bridge Drive ,Arlington,VA,22202,UNITED STATES,https://www.boeing.com
