Banco ABC Brasil SA,28.195.667/0001-06,Encontrado
BrasilAgro - Co ON NM,07.628.528/0001-59,Encontrado
RUMO Logistica Operadora Multimodal SA,71.550.388/0001-42,Encontrado
Alpargatas SA,,Não Encontrado
Alpargatas SA,,Não Encontrado
Aliansce Sonae Shopping Centers SA,,Não Encontrado
Marisa Lojas SA,61.189.288/0026-37,Encontrado
Ambev SA,07.526.557/0001-00,Encontrado
Advanced Digital Health Medicina Preventiva SA,,Não Encontrado
Arezzo Industria e Comercio SA,16.590.234/0018-14,Encontrado
Banco do Brasil SA,00.000.000/7508-67,Encontrado
Banco Bradesco SA,60.746.948/0001-12,Encontrado
Banco Bradesco SA,60.746.948/0001-12,Encontrado
Banco Bradesco SA Pref,60.746.948/0001-12,Encontrado
Brasil Brokers Participacoes SA,,Não Encontrado
Minerva SA/Brazil,67.620.377/0089-56,Encontrado
Brasil Pharma SA,,Não Encontrado
Banco Pan SA,59.285.411/0001-13,Encontrado
Bradespar SA,,Não Encontrado
Bradespar SA,,Não Encontrado
BRF SA,01.838.723/0309-72,Encontrado
BR Insurance Corretora de Seguros SA,11.721.921/0001-60,Encontrado
Braskem SA,42.150.391/0001-70,Encontrado
Braskem SA,42.150.391/0001-70,Encontrado
BR Malls Participacoes SA,,Não Encontrado
BR Properties SA,,Não Encontrado
BANRISUL PNB N1,92.702.067/0001-96,Encontrado
Oi SA,76.535.764/0001-43,Encontrado
Oi SA Pref,76.535.764/0001-43,Encontrado
B2W Cia Digital,,Não Encontrado
B3 SA Brasil Bolsa Balcao,,Não Encontrado
Cambuci SA,61.088.894/0001-08,Encontrado
CSU Cardsystem SA,01.896.779/0001-38,Encontrado
Cyrela Commercial Properties SA,08.801.621/0001-86,Encontrado
CCR SA,02.846.056/0001-97,Encontrado
CEDRO PN N1,,Não Encontrado
CEEE-D ON N1,,Não Encontrado
Cia Energetica de Sao Paulo,,Não Encontrado
Companhia de Gas de Sao Paulo,61.856.571/0001-17,Encontrado
Grazziotin SA,92.012.467/0001-70,Encontrado
Cielo SA,01.027.058/0001-91,Encontrado
